match_id,season,league,matchday,kickoff,home_team_id,home_team,away_team_id,away_team,dataset_split,home_news_sporting_form_mean_rating,home_news_sporting_form_mention_share,home_news_personnel_situation_mean_rating,home_news_personnel_situation_mention_share,home_news_physical_readiness_mean_rating,home_news_physical_readiness_mention_share,home_news_confidence_and_motivation_mean_rating,home_news_confidence_and_motivation_mention_share,away_news_sporting_form_mean_rating,away_news_sporting_form_mention_share,away_news_personnel_situation_mean_rating,away_news_personnel_situation_mention_share,away_news_physical_readiness_mean_rating,away_news_physical_readiness_mention_share,away_news_confidence_and_motivation_mean_rating,away_news_confidence_and_motivation_mention_share
77279,2025,bl1,3,2025-09-13T15:30:00+02:00,131,VfL Wolfsburg,65,1. FC Köln,train,0.0,0.115385,0.935484,0.397436,0.454545,0.141026,1.0,0.115385,1.315789,0.234568,0.0,0.135802,-0.666667,0.074074,1.25,0.148148
77280,2025,bl1,3,2025-09-13T15:30:00+02:00,80,1. FC Union Berlin,175,TSG Hoffenheim,train,-0.176471,0.223684,0.3,0.131579,-1.0,0.052632,0.916667,0.157895,0.181818,0.289474,1.0,0.092105,0.8,0.065789,0.818182,0.144737
77282,2025,bl1,3,2025-09-13T15:30:00+02:00,199,1. FC Heidenheim 1846,7,Borussia Dortmund,train,-0.730769,0.371429,-0.4,0.071429,0.0,0.0,-0.5,0.114286,0.0,0.204819,-0.588235,0.204819,-0.769231,0.156627,0.222222,0.108434
77274,2025,bl1,3,2025-09-13T18:30:00+02:00,40,FC Bayern München,100,Hamburger SV,train,0.875,0.190476,0.454545,0.261905,-1.0,0.011905,1.055556,0.214286,-0.882353,0.209877,0.166667,0.074074,1.0,0.024691,0.0,0.185185
77281,2025,bl1,3,2025-09-14T15:30:00+02:00,98,FC St. Pauli,95,FC Augsburg,train,1.0,0.241379,1.0,0.034483,1.0,0.011494,1.0,0.034483,-0.2,0.235294,-0.454545,0.129412,1.0,0.035294,1.166667,0.070588
77278,2025,bl1,3,2025-09-14T17:30:00+02:00,87,Borussia Mönchengladbach,134,SV Werder Bremen,train,-1.055556,0.214286,-0.5,0.02381,0.0,0.0,-0.5,0.047619,-0.592593,0.325301,0.307692,0.313253,0.416667,0.144578,0.761905,0.253012
77288,2025,bl1,4,2025-09-19T20:30:00+02:00,16,VfB Stuttgart,98,FC St. Pauli,train,-0.965517,0.371795,-0.285714,0.089744,-1.0,0.051282,-0.882353,0.217949,1.382353,0.435897,0.2,0.064103,-0.333333,0.038462,1.076923,0.166667
77287,2025,bl1,4,2025-09-20T15:30:00+02:00,134,SV Werder Bremen,112,SC Freiburg,train,1.068966,0.337209,0.285714,0.162791,-1.0,0.034884,1.157895,0.22093,0.357143,0.329412,-0.857143,0.164706,0.0,0.0,0.636364,0.129412
77289,2025,bl1,4,2025-09-20T15:30:00+02:00,95,FC Augsburg,81,1. FSV Mainz 05,train,-0.73913,0.283951,0.5,0.098765,1.0,0.024691,1.1,0.123457,-1.045455,0.268293,-0.111111,0.109756,0.5,0.073171,0.888889,0.219512
77290,2025,bl1,4,2025-09-20T15:30:00+02:00,175,TSG Hoffenheim,40,FC Bayern München,train,0.842105,0.215909,0.4,0.056818,-1.0,0.011364,1.25,0.045455,1.375,0.289157,-0.636364,0.13253,-1.0,0.036145,1.0,0.13253
